개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),임산부정원수,영유아정원수,임산부실면적,영유아실면적,모유수유실면적,급식시설면적,세탁실면적,목욕실면적,조리원화장실면적,사무실면적,간호사수,간호조무사수,영양사수,취사부수,미화원수,기타인원수,건물층수,지상층수,지하층수
3230000,PHMB120143230034042100001,2014-02-27,,01,영업/정상,13,영업중,,,,,024313535,,,,"서울특별시 송파구 충민로2길 20 (장지동, 송파산모건강증진센터)",05816,송파산모건강증진센터산후조리원,2023-04-18 11:16,U,00:00.0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3200000,PHMB120143200033042100001,2014-05-01,,01,영업/정상,13,영업중,,2023-04-13,2023-05-15,,02-889-0700,,,서울특별시 관악구 봉천동 463-4 메카플러스,"서울특별시 관악구 양녕로 46, 메카플러스 (봉천동)",08747,로얄산후조리원(봉천점),2023-06-27 11:58,U,09:00.0,,195274.3433,442663.4986,,,,,,,,,,,,,,,,,,,
3050000,PHMB120163050034042100002,2016-11-10,,01,영업/정상,13,영업중,,,,,02-2212-2582,,,서울특별시 동대문구 답십리동 492번지 2호 9층,"서울특별시 동대문구 천호대로 317, 9층 (답십리동, 하늘병원)",02622,블리스산후조리원,2023-05-08 17:21,U,00:00.0,,204831.4613,451444.506,,,,,,,,,,,,,,,,,,,
3150000,PHMB120113150037042100002,2011-03-17,,01,영업/정상,13,영업중,,2023-06-05,2023-06-30,,02-2659-0031,,157-200,서울특별시 강서구 가양동 1480번지 8호,"서울특별시 강서구 양천로 461, 5층 (가양동)",07526,퀸즈마리 산후조리원(가양점),2023-06-29 11:19,U,01:00.0,,186875.9942,451205.8351,,,,,,,,,,,,,,,,,,,
3090000,PHMB120083090033042100001,2008-08-26,,01,영업/정상,13,영업중,,2023-05-03,2023-05-31,,,,,서울특별시 도봉구 창동 731-1 에이치큐브병원,"서울특별시 도봉구 도봉로 604, 에이치큐브병원 7-8층 (창동)",01401,에이치큐브 산후조리원,2023-05-25 9:24,U,07:00.0,,203556.6616,461771.0544,,,,,,,,,,,,,,,,,,,
3110000,PHMB120073110032042100002,2007-02-01,,01,영업/정상,13,영업중,,,,,02-6010-0702,,122-923,"서울특별시 은평구 응암동 578번지 16호 4,5층",서울특별시 은평구 응암로 235 (응암동),03457,라솜 산후조리원 은평점,2023-05-24 15:41,U,07:00.0,,192652.478,454524.9793,,,,,,,,,,,,,,,,,,,
3140000,PHMB120153140033042100001,20150807,,01,영업/정상,13,영업중,,,,,02-6491-1001,,,서울특별시 양천구 목동 406번지 21호,서울특별시 양천구 오목로 325 (목동),08000,㈜레피리움시그니쳐,2022-04-12 15:56,U,04:00.0,,188767.5843,446998.232,,,,,,,,,,,,,,,,,,,
3220000,PHMB120143220033042100004,2014-09-05,,01,영업/정상,13,영업중,,,,,,,,서울특별시 강남구 삼성동 21 한섬빌딩,"서울특별시 강남구 삼성로 635, 한섬빌딩 (삼성동)",06091,(주)헤리티지산후조리원,2024-01-26 11:17,U,08:00.0,,204436.9708,446036.9815,,,,,,,,,,,,,,,,,,,
3220000,PHMB120233220033042100001,2023-11-02,,01,영업/정상,13,영업중,,,,,,,06100,,서울특별시 강남구 선릉로 629 (논현동),06100,ANIDAR 산후조리원,2025-01-16 15:04,U,08:00.0,,203691.2166,445630.9431,,,,,,,,,,,,,,,,,,,
3070000,PHMB120223070034042100001,20220401,,01,영업/정상,13,영업중,,,,,02-2088-7387,,,서울특별시 성북구 석관동 349-1 장위뉴타워 8층,"서울특별시 성북구 화랑로 248, 장위뉴타워 8층 (석관동)",02787,마리아산후조리원,2022-12-13 21:07,U,05:00.0,,204958.4055,456443.3872,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010000,PHMB120143010033042100001,2014-12-31,,01,영업/정상,13,영업중,,,,,0222316375,,,,"서울특별시 중구 다산로36길 11, 동산빌딩 6,7층 (신당동)",04585,더드림산후조리원,2023-07-31 13:48,U,02:00.0,,201362.6956,451177.2225,,,,,,,,,,,,,,,,,,,
3190000,PHMB120133190033042100001,2013-07-09,,01,영업/정상,13,영업중,,,,,02-6496-5650,,,서울특별시 동작구 노량진동 311번지 8호,"서울특별시 동작구 장승배기로 108 (노량진동, 청화병원)",06925,청화병원부설산후조리원,2024-04-03 8:39,U,05:00.0,,194640.5137,444993.6777,,,,,,,,,,,,,,,,,,,
3220000,PHMB120243220033042100001,2024-10-29,,01,영업/정상,13,영업중,,,,,02-517-2419,,,서울특별시 강남구 삼성동 24-19,"서울특별시 강남구 삼성로115길 20-10, 노블5 산후조리원 1~4층 (삼성동)",06094,노블5 산후조리원,2024-10-29 17:59,I,01:00.0,,204373.7315,445875.0553,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3220000,PHMB120073220033042100001,2007-04-16,,01,영업/정상,13,영업중,,2017-05-29,2017-06-30,,02-546-3493,,,서울특별시 강남구 신사동 616번지 3호 1~5층,"서울특별시 강남구 압구정로38길 6, 1~5층 (신사동)",06023,호산산후조리원,2024-01-08 16:15,U,00:00.0,,202786.8159,447346.1256,,,,,,,,,,,,,,,,,,,
3150000,PHMB120083150037042100001,2008-12-16,,01,영업/정상,13,영업중,,2023-11-20,2024-02-27,,02-1644-3358,,,서울특별시 강서구 화곡동 1060번지 30호 R.U휘트니스,서울특별시 강서구 화곡로 191 (화곡동),07700,궁산후조리원 화곡지점,2024-02-27 14:02,U,09:00.0,,185983.8447,448981.9022,,,,,,,,,,,,,,,,,,,
3140000,PHMB120063140033042100003,2006-12-08,,01,영업/정상,13,영업중,,,,,,,158-861,서울특별시 양천구 신정1동 1026번지 1호,"서울특별시 양천구 신월로 338, 원빌딩 4층 (신정동)",08086,목동 굿맘 산후조리원,2024-09-02 15:31,U,04:00.0,,187415.9229,446600.1841,,,,,,,,,,,,,,,,,,,
3170000,PHMB120063170035042100002,2006-12-20,,01,영업/정상,13,영업중,,,,,02-851-1566,,,서울특별시 금천구 독산동 152-6 삼희빌딩,"서울특별시 금천구 시흥대로 429, 삼희빌딩 3층 (독산동)",08535,VIP산후조리원,2024-01-19 13:53,U,01:00.0,,190878.5472,441091.3736,,,,,,,,,,,,,,,,,,,
3150000,PHMB120243150037042100002,2024-06-25,,01,영업/정상,13,영업중,,,,,02-1833-4720,,,서울특별시 강서구 내발산동 680-12,서울특별시 강서구 강서로47길 20 (내발산동),07633,디어원 산후조리원,2024-06-28 9:59,U,00:00.0,,185359.4043,450080.0844,,,,,,,,,,,,,,,,,,,
